transaction_id,merchant_id,customer_id_hash,amount_inr,payment_method,failure_code,failure_category,attempt_number,customer_success_rate,previous_failed_attempts,time_since_failure_minutes,subscription_flag,merchant_category,device_change_flag,recovery_outcome,recovered_amount,event_timestamp
TXN000001,M014,9890092e116a985b,3064.41,netbanking,OTHER,unknown,2,0.459,1,866,False,e_commerce,False,not_recovered,0.0,2026-07-20T11:02:00
TXN000002,M020,45970978741a92de,1224.21,card,UNKNOWN_ERROR,unknown,1,0.186,0,1288,True,subscription,False,not_recovered,0.0,2026-05-19T17:27:00
TXN000003,M008,ccc861c7dc9684b1,325.54,upi,UNKNOWN_ERROR,unknown,3,0.457,2,748,False,subscription,False,not_recovered,0.0,2026-05-05T01:53:00
TXN000004,M018,b8198830933349ba,2857.79,netbanking,UNKNOWN_ERROR,unknown,1,0.815,0,1141,False,e_commerce,False,not_recovered,0.0,2026-07-24T16:11:00
TXN000005,M013,7ccdd8deb96b30d1,23058.85,upi,UNKNOWN_ERROR,unknown,1,0.596,1,1343,False,education,False,not_recovered,0.0,2026-07-14T15:35:00
TXN000006,M024,83038a07fdcc591a,943.99,card,OTHER,unknown,3,0.68,2,284,False,e_commerce,False,not_recovered,0.0,2026-07-25T20:16:00
TXN000007,M022,cbe4058228c83948,26947.95,upi,UNKNOWN_ERROR,unknown,1,0.763,1,1134,False,education,False,not_recovered,0.0,2026-05-24T14:54:00
TXN000008,M010,042f8d51be818f43,1903.61,upi,UNKNOWN_ERROR,unknown,1,0.57,1,1026,False,e_commerce,False,not_recovered,0.0,2026-07-18T02:40:00
TXN000009,M020,7021f87aec21ac07,1156.09,wallet,UNKNOWN_ERROR,unknown,1,0.759,1,1001,True,subscription,True,recovered,1156.09,2026-06-22T15:50:00
TXN000010,M003,c07d9647752dc635,1003.4,card,OTHER,unknown,3,0.447,3,974,False,e_commerce,False,not_recovered,0.0,2026-05-25T03:18:00
TXN000011,M018,d4bee9b94eebe7f2,1804.31,card,OTHER,unknown,1,0.544,1,1060,False,e_commerce,False,not_recovered,0.0,2026-05-22T16:09:00
TXN000012,M023,5c1b9db110b2ae56,17728.1,wallet,UNKNOWN_ERROR,unknown,1,0.465,0,488,False,education,False,not_recovered,0.0,2026-05-23T19:30:00
TXN000013,M019,e2f42113de792a62,275.9,upi,UNKNOWN_ERROR,unknown,2,0.144,1,883,False,e_commerce,False,not_recovered,0.0,2026-05-09T01:57:00
TXN000014,M011,3e993cbbadaa52c9,1834.99,wallet,UNKNOWN_ERROR,unknown,1,0.435,1,571,False,utilities,False,not_recovered,0.0,2026-07-22T08:53:00
TXN000015,M004,eae466bbcfe88ad3,11555.89,emi,UNKNOWN_ERROR,unknown,4,0.326,3,438,False,utilities,False,not_recovered,0.0,2026-06-03T14:16:00
TXN000016,M026,47387c5b2615074d,496.48,emi,OTHER,unknown,1,0.561,0,643,True,subscription,True,recovered,496.48,2026-05-28T05:53:00
TXN000017,M003,fee1cb131850988b,763.25,wallet,UNKNOWN_ERROR,unknown,2,0.633,2,1167,False,e_commerce,False,not_recovered,0.0,2026-05-18T04:43:00
TXN000018,M007,5b198eea66221735,366.67,card,UNKNOWN_ERROR,unknown,1,0.308,1,149,True,subscription,True,not_recovered,0.0,2026-05-20T20:36:00
TXN000019,M009,2413ff8f639d515b,50.0,card,OTHER,unknown,3,0.264,2,1113,False,utilities,False,not_recovered,0.0,2026-07-30T01:13:00
TXN000020,M022,27cbdde801b3160a,702.25,card,UNKNOWN_ERROR,unknown,1,0.449,0,578,False,education,False,not_recovered,0.0,2026-07-05T00:33:00
TXN000021,M016,19324cbad4b0c749,335.78,card,UNKNOWN_ERROR,unknown,1,0.437,0,684,False,food_delivery,False,not_recovered,0.0,2026-05-22T09:25:00
